Generation,Distance,Routes
1,3708.2,43
2,3692.33,42
3,3426.13,42
4,3375.95,41
5,3120.29,41
6,3245.2,38
7,3124.21,37
8,3087.6,35
9,3048.61,33
10,2946.88,32
11,2879.37,32
12,2783.84,31
13,2730.79,29
14,2695.67,29
15,2654.46,27
16,2572.94,26
17,2554.67,25
18,2562.87,24
19,2444.97,23
20,2494.79,22
21,2320.85,22
22,2352.81,21
23,2309.89,20
24,2274.68,19
25,2254.47,19
26,2410.31,17
27,2269.95,17
28,2278.71,16
29,2170.53,16
30,2158.85,15
31,2043.31,15
32,2094.22,15
33,2168.61,13
34,1969.7,14
35,1999.06,13
36,1984.42,12
37,1909.84,12
38,1979.66,12
39,1941.49,12
40,1942.08,11
41,1902.08,12
42,1877.82,12
43,1862.37,11
44,1857.76,11
45,1851.1,11
46,1838.84,11
47,1864.58,11
48,1876.05,10
49,1852.68,10
50,1891.37,10
51,1855.08,10
52,1821.54,10
53,1812.51,10
54,1809.24,10
55,1837.27,10
56,1785.08,11
57,1788.8,11
58,1825.49,10
59,1869.92,10
60,1781.85,10
61,1754.04,10
62,1743.87,11
63,1818.04,10
64,1805.72,10
65,1780.91,10
66,1812.44,9
67,1726.93,10
68,1679.28,10
69,1760.3,9
70,1749.03,9
71,1749.03,9
72,1747.34,9
73,1715.06,10
74,1698.52,10
75,1698.04,10
76,1688.28,10
77,1704.37,10
78,1700.72,10
79,1672.43,10
80,1680.95,10
81,1680.86,10
82,1660.36,10
83,1674.04,10
84,1669.01,10
85,1673.29,10
86,1682.15,10
87,1727.2,9
88,1700.89,10
89,1755.44,9
90,1750.18,9
91,1685.06,10
92,1746.26,9
93,1758.5,9
94,1765.84,9
95,1765.17,9
96,1709.47,9
97,1721.6,9
98,1746.3,9
99,1741.42,9
100,1739.45,9
101,1720.19,10
102,1719.26,10
103,1717.71,10
104,1709.11,10
105,1690.08,10
106,1688.31,10
107,1692.41,10
108,1702.36,10
109,1698.75,10
110,1685.86,10
111,1704.7,9
112,1683.27,10
113,1681.25,10
114,1703.81,9
115,1712.57,9
116,1679.7,9
117,1680,10
118,1682.75,10
