Generation,Distance,Routes
1,3764.09,45
2,3663.6,44
3,3502.61,41
4,3435.89,39
5,3332.75,38
6,3196.78,37
7,3241.49,35
8,3137.27,34
9,3049.92,33
10,2964.67,30
11,2812.07,30
12,2696.84,29
13,2560.02,28
14,2557.96,26
15,2369.06,25
16,2298.98,24
17,2366.26,22
18,2308.32,21
19,2065.61,21
20,2025.93,20
21,1940.07,20
22,1889.57,19
23,1812.47,17
24,1747.24,17
25,1775.7,16
26,1785.33,15
27,1744,15
28,1605.93,14
29,1536.61,13
30,1681.18,13
31,1375.79,13
32,1403.29,12
33,1508.79,12
34,1808.36,11
35,1269.99,11
36,1253.17,11
37,1253.17,11
38,1253.17,11
39,1245.2,11
40,1235.27,11
41,1232.73,11
42,1221.16,11
43,1164.3,11
44,1164.3,11
45,1164.3,11
46,1161.58,11
47,1151.23,11
48,1125.05,11
49,1118.77,11
50,1105.16,11
51,1097.39,11
52,1077.97,11
53,1081.32,11
54,1070.4,11
55,1044.49,11
56,1057.64,10
57,1065.15,10
58,990.8,10
59,995.832,10
60,995.832,10
61,969.138,10
62,957.52,10
63,954.448,10
64,937.913,10
65,937.913,10
66,937.913,10
67,931.234,10
68,920.508,10
69,916.46,10
70,916.46,10
71,914.408,10
72,909.781,10
73,901.899,10
74,901.899,10
75,901.899,10
76,901.899,10
77,899.223,10
78,899.223,10
79,899.223,10
80,899.223,10
81,899.223,10
82,899.223,10
83,899.223,10
84,899.223,10
85,899.223,10
86,899.223,10
87,899.223,10
88,899.223,10
89,899.223,10
90,899.223,10
91,886.96,10
92,874.485,10
93,874.485,10
94,874.485,10
95,874.485,10
96,874.485,10
97,874.485,10
98,874.485,10
99,874.485,10
100,874.485,10
101,874.485,10
102,874.485,10
103,874.485,10
104,874.485,10
105,874.485,10
106,874.485,10
107,874.485,10
108,874.485,10
109,874.485,10
110,874.485,10
111,874.485,10
112,874.485,10
113,874.485,10
114,874.485,10
115,874.485,10
116,874.485,10
117,874.485,10
118,874.485,10
119,874.485,10
120,874.485,10
121,874.485,10
122,874.485,10
123,874.485,10
124,874.485,10
125,874.485,10
126,874.485,10
127,874.485,10
128,858.308,10
129,858.308,10
130,858.308,10
131,858.308,10
132,858.308,10
133,858.308,10
134,858.308,10
135,858.308,10
136,858.308,10
137,858.308,10
138,858.308,10
139,858.308,10
140,858.308,10
141,858.308,10
142,858.308,10
143,858.308,10
144,858.308,10
145,858.308,10
146,858.308,10
147,858.308,10
148,858.308,10
149,858.308,10
150,858.308,10
151,858.308,10
152,858.308,10
153,858.308,10
154,858.308,10
155,858.308,10
156,858.308,10
157,858.308,10
158,858.308,10
159,858.308,10
160,858.308,10
161,858.308,10
162,858.308,10
163,858.308,10
164,858.308,10
165,858.308,10
166,858.308,10
167,858.308,10
168,858.308,10
169,858.308,10
170,858.308,10
171,858.308,10
172,858.308,10
173,858.308,10
174,858.308,10
175,858.308,10
176,858.308,10
177,858.308,10
178,858.308,10
179,858.308,10
180,858.308,10
181,858.308,10
182,858.308,10
183,858.308,10
184,858.308,10
185,858.308,10
186,858.308,10
187,858.308,10
188,858.308,10
189,858.308,10
190,858.308,10
191,858.308,10
192,858.308,10
193,858.308,10
194,858.308,10
195,858.308,10
196,858.308,10
197,858.308,10
198,858.308,10
199,858.308,10
200,858.308,10
201,858.308,10
202,858.308,10
203,858.308,10
204,858.308,10
205,858.308,10
206,858.308,10
207,858.308,10
208,858.308,10
209,858.308,10
210,858.308,10
211,858.308,10
212,858.308,10
213,858.308,10
214,858.308,10
215,858.308,10
216,858.308,10
217,858.308,10
218,858.308,10
219,858.308,10
220,858.308,10
221,858.308,10
222,858.308,10
223,858.308,10
224,858.308,10
225,858.308,10
226,858.308,10
227,858.308,10
228,858.308,10
229,858.308,10
230,858.308,10
231,858.308,10
232,858.308,10
233,858.308,10
234,858.308,10
235,858.308,10
236,858.308,10
237,858.308,10
238,858.308,10
239,858.308,10
240,858.308,10
241,858.308,10
242,858.308,10
243,858.308,10
244,858.308,10
245,858.308,10
246,858.308,10
247,858.308,10
248,858.308,10
249,858.308,10
250,858.308,10
251,858.308,10
252,858.308,10
253,858.308,10
254,858.308,10
255,858.308,10
256,858.308,10
257,858.308,10
258,858.308,10
259,858.308,10
260,858.308,10
261,858.308,10
262,858.308,10
263,858.308,10
264,858.308,10
265,858.308,10
266,858.308,10
267,858.308,10
268,858.308,10
269,858.308,10
270,858.308,10
271,858.308,10
272,858.308,10
273,858.308,10
274,858.308,10
275,858.308,10
276,858.308,10
277,858.308,10
278,858.308,10
279,858.308,10
280,858.308,10
281,858.308,10
282,858.308,10
283,858.308,10
284,858.308,10
285,858.308,10
286,858.308,10
287,858.308,10
288,858.308,10
289,858.308,10
290,858.308,10
291,858.308,10
292,858.308,10
293,858.308,10
294,858.308,10
295,858.308,10
296,858.308,10
297,858.308,10
298,858.308,10
299,858.308,10
300,858.308,10
301,858.308,10
302,858.308,10
303,858.308,10
304,858.308,10
305,858.308,10
306,858.308,10
307,858.308,10
308,858.308,10
309,858.308,10
310,858.308,10
311,858.308,10
312,858.308,10
313,858.308,10
314,858.308,10
315,858.308,10
316,858.308,10
317,858.308,10
318,858.308,10
319,858.308,10
320,858.308,10
321,858.308,10
322,858.308,10
323,858.308,10
324,858.308,10
325,858.308,10
326,858.308,10
327,858.308,10
328,858.308,10
329,858.308,10
330,858.308,10
331,858.308,10
332,858.308,10
333,858.308,10
334,858.308,10
335,858.308,10
336,858.308,10
337,858.308,10
338,858.308,10
339,858.308,10
340,858.308,10
341,858.308,10
342,858.308,10
343,858.308,10
344,858.308,10
345,858.308,10
346,858.308,10
347,858.308,10
348,858.308,10
349,858.308,10
350,858.308,10
351,858.308,10
352,858.308,10
353,858.308,10
354,858.308,10
355,858.308,10
356,858.308,10
357,858.308,10
358,858.308,10
359,858.308,10
360,858.308,10
361,858.308,10
362,858.308,10
363,858.308,10
364,858.308,10
365,858.308,10
366,858.308,10
367,858.308,10
368,858.308,10
369,858.308,10
370,858.308,10
371,858.308,10
372,858.308,10
373,858.308,10
374,858.308,10
375,858.308,10
376,858.308,10
377,858.308,10
378,858.308,10
379,858.308,10
380,858.308,10
381,858.308,10
382,858.308,10
383,858.308,10
384,858.308,10
385,858.308,10
386,858.308,10
387,858.308,10
388,858.308,10
389,858.308,10
390,858.308,10
391,858.308,10
392,858.308,10
393,858.308,10
394,858.308,10
395,858.308,10
396,858.308,10
397,858.308,10
398,858.308,10
399,858.308,10
400,858.308,10
401,858.308,10
402,858.308,10
403,858.308,10
404,858.308,10
405,858.308,10
406,858.308,10
407,858.308,10
408,858.308,10
409,858.308,10
410,858.308,10
411,858.308,10
412,858.308,10
413,858.308,10
414,858.308,10
415,858.308,10
416,858.308,10
417,858.308,10
418,858.308,10
419,858.308,10
420,858.308,10
421,858.308,10
422,858.308,10
423,858.308,10
424,858.308,10
425,858.308,10
426,858.308,10
427,858.308,10
428,858.308,10
429,858.308,10
430,858.308,10
431,858.308,10
432,858.308,10
433,858.308,10
434,858.308,10
435,858.308,10
436,858.308,10
437,858.308,10
438,858.308,10
439,858.308,10
440,858.308,10
441,858.308,10
442,858.308,10
443,858.308,10
444,858.308,10
445,858.308,10
446,858.308,10
447,858.308,10
448,858.308,10
449,858.308,10
450,858.308,10
451,858.308,10
452,858.308,10
453,858.308,10
454,858.308,10
455,858.308,10
456,858.308,10
457,858.308,10
458,858.308,10
459,858.308,10
460,858.308,10
461,858.308,10
462,858.308,10
463,858.308,10
464,858.308,10
465,858.308,10
466,858.308,10
467,858.308,10
468,858.308,10
469,858.308,10
470,858.308,10
471,858.308,10
472,858.308,10
473,858.308,10
474,858.308,10
475,858.308,10
476,858.308,10
477,858.308,10
478,858.308,10
479,858.308,10
480,858.308,10
481,858.308,10
482,858.308,10
483,858.308,10
484,858.308,10
485,858.308,10
486,858.308,10
487,858.308,10
488,858.308,10
489,858.308,10
490,858.308,10
491,858.308,10
492,858.308,10
493,858.308,10
494,858.308,10
495,858.308,10
496,858.308,10
497,858.308,10
498,858.308,10
499,858.308,10
500,858.308,10
