Generation,Distance,Routes
1,4800.43,46
2,4749.86,44
3,4666.06,41
4,3629.5,39
5,3550.88,38
6,3545.11,37
7,3421.05,36
8,3489.38,34
9,3364.42,33
10,3228.68,31
11,3155.81,30
12,3110.12,29
13,3179.48,27
14,3088.43,26
15,2888.65,24
16,2777.79,24
17,2539.86,23
18,2605.29,22
19,2607.64,20
20,2465.43,19
21,2607.16,18
22,2546.14,17
23,2318.35,17
24,2428.53,16
25,2085.63,16
26,2446.45,14
27,1956.54,14
28,1947.91,13
29,2085.27,12
30,2045.62,12
31,1961.17,12
32,1887.37,12
33,2080.23,11
34,2044.83,11
35,1971.88,11
36,1971.88,11
37,1870.62,11
38,1870.62,11
39,1924.15,11
40,1893.71,11
41,1756.35,11
42,1756.35,11
43,1756.35,11
44,1756.35,11
45,1756.35,11
46,1756.35,11
47,1714.8,11
48,1714.8,11
49,1714.8,11
50,1702.92,11
51,1702.92,11
52,1671.57,11
53,1671.57,11
54,1664.1,11
55,1664.1,11
56,1664.1,11
57,1661.08,11
58,1661.08,11
59,1661.08,11
60,1661.08,11
61,1661.08,11
62,1636.95,11
63,1636.95,11
64,1633.24,11
65,1630.41,11
66,1630.41,11
67,1618.45,11
68,1590.55,11
69,1571.81,11
70,1571.56,11
71,1536.81,11
72,1523.7,11
73,1486.44,11
74,1486.44,11
75,1486.44,11
76,1486.44,11
77,1486.44,11
78,1486.44,11
79,1486.44,11
80,1473.91,11
81,1473.91,11
82,1460.22,11
83,1366.85,11
84,1357.8,11
85,1403.98,10
86,1403.98,10
87,1337.37,10
88,1337.37,10
89,1337.37,10
90,1337.37,10
91,1337.37,10
92,1337.37,10
93,1337.37,10
94,1337.37,10
95,1337.37,10
96,1337.37,10
97,1337.37,10
98,1337.37,10
99,1337.37,10
100,1337.37,10
101,1337.37,10
102,1337.37,10
103,1337.37,10
104,1337.37,10
105,1337.37,10
106,1337.37,10
107,1337.37,10
108,1337.37,10
109,1337.37,10
110,1337.37,10
111,1337.37,10
112,1337.37,10
113,1337.37,10
114,1337.37,10
115,1337.37,10
116,1337.37,10
117,1337.37,10
118,1337.37,10
119,1337.37,10
120,1337.37,10
121,1337.37,10
122,1337.37,10
123,1337.37,10
124,1337.37,10
125,1337.37,10
126,1337.37,10
127,1337.37,10
128,1337.37,10
129,1337.37,10
130,1337.37,10
131,1337.37,10
132,1337.37,10
133,1337.37,10
134,1337.37,10
135,1337.37,10
136,1337.37,10
137,1337.37,10
138,1337.37,10
139,1337.37,10
140,1337.37,10
141,1337.37,10
142,1337.37,10
143,1337.37,10
144,1337.37,10
145,1337.37,10
146,1337.37,10
147,1337.37,10
148,1337.37,10
149,1337.37,10
150,1337.37,10
151,1337.37,10
152,1337.37,10
153,1337.37,10
154,1337.37,10
155,1337.37,10
156,1337.37,10
157,1337.37,10
158,1337.37,10
159,1337.37,10
160,1337.37,10
161,1337.37,10
162,1337.37,10
163,1337.37,10
164,1337.37,10
165,1337.37,10
166,1337.37,10
167,1337.37,10
168,1337.37,10
169,1337.37,10
170,1337.37,10
171,1337.37,10
172,1337.37,10
173,1337.37,10
174,1337.37,10
175,1337.37,10
176,1337.37,10
177,1337.37,10
178,1337.37,10
179,1337.37,10
180,1337.37,10
181,1337.37,10
182,1337.37,10
183,1337.37,10
184,1337.37,10
185,1337.37,10
186,1337.37,10
187,1337.37,10
188,1337.37,10
189,1337.37,10
190,1337.37,10
191,1337.37,10
192,1337.37,10
193,1337.37,10
194,1337.37,10
195,1337.37,10
196,1337.37,10
197,1337.37,10
198,1337.37,10
199,1337.37,10
200,1337.37,10
201,1337.37,10
202,1337.37,10
203,1337.37,10
204,1337.37,10
205,1337.37,10
206,1337.37,10
207,1337.37,10
208,1337.37,10
209,1337.37,10
210,1337.37,10
211,1337.37,10
212,1337.37,10
213,1337.37,10
214,1337.37,10
215,1337.37,10
216,1337.37,10
217,1337.37,10
218,1337.37,10
219,1337.37,10
220,1337.37,10
221,1337.37,10
222,1337.37,10
223,1337.37,10
224,1337.37,10
225,1337.37,10
226,1337.37,10
227,1337.37,10
228,1337.37,10
229,1337.37,10
230,1337.37,10
231,1337.37,10
232,1337.37,10
233,1337.37,10
234,1337.37,10
235,1337.37,10
236,1337.37,10
237,1337.37,10
238,1337.37,10
239,1337.37,10
240,1337.37,10
241,1337.37,10
242,1337.37,10
243,1337.37,10
244,1337.37,10
245,1337.37,10
246,1337.37,10
247,1337.37,10
248,1337.37,10
249,1337.37,10
250,1337.37,10
251,1337.37,10
252,1337.37,10
253,1337.37,10
254,1337.37,10
255,1337.37,10
256,1337.37,10
257,1337.37,10
258,1337.37,10
259,1337.37,10
260,1337.37,10
261,1337.37,10
262,1337.37,10
263,1337.37,10
264,1337.37,10
265,1337.37,10
266,1337.37,10
267,1337.37,10
268,1337.37,10
269,1337.37,10
270,1337.37,10
271,1337.37,10
272,1337.37,10
273,1337.37,10
274,1337.37,10
275,1337.37,10
276,1337.37,10
277,1337.37,10
278,1337.37,10
279,1337.37,10
280,1337.37,10
281,1337.37,10
282,1337.37,10
283,1337.37,10
284,1337.37,10
285,1337.37,10
286,1337.37,10
287,1337.37,10
288,1337.37,10
289,1337.37,10
290,1337.37,10
291,1337.37,10
292,1337.37,10
293,1337.37,10
294,1337.37,10
295,1337.37,10
296,1337.37,10
297,1337.37,10
298,1337.37,10
299,1337.37,10
