Generation,Distance,Routes
1,3942.14,43
2,3922.33,41
3,3920.56,39
4,3798.08,38
5,3695.13,37
6,3918.67,35
7,3494.16,34
8,3756.59,32
9,3652.46,30
10,3271.89,29
11,3247.44,28
12,3357.69,27
13,3337.62,25
14,3098.53,23
15,3037.09,22
16,2955,21
17,2981.76,20
18,2981.58,19
19,2930.41,19
20,2912.33,18
21,2907.28,17
22,2838.33,16
23,2800.44,15
24,2486.83,15
25,2463.27,14
26,2758.1,13
27,2534.34,13
28,2582.73,12
29,2451.21,12
30,2429.72,11
31,2506.4,11
32,2846.81,10
33,2544.33,10
34,2487.97,10
35,2472.15,10
36,2470.45,10
37,2412.91,10
38,2487.4,9
39,2487.4,9
40,2487.4,9
41,2343.46,9
42,2343.46,9
43,2343.46,9
44,2343.46,9
45,2343.46,9
46,2343.46,9
47,2343.46,9
48,2343.46,9
49,2337.11,9
50,2337.11,9
51,2304.13,9
52,2304.13,9
53,2278.13,9
54,2269.91,9
55,2255.97,9
56,2258.17,9
57,2230.07,9
58,2193.98,9
59,2127.23,9
60,2127.23,9
61,2127.23,9
62,2087.91,9
63,2087.91,9
64,2087.91,9
65,2087.91,9
66,2087.91,9
67,2087.91,9
68,2061.22,9
69,2061.22,9
70,2061.22,9
71,2050.31,9
72,2050.31,9
73,2050.31,9
74,2050.31,9
75,2050.31,9
76,2050.31,9
77,2050.31,9
78,2042.02,9
79,2042.02,9
80,2042.02,9
81,2042.02,9
82,2042.02,9
83,2040.44,9
84,2038.55,9
85,2038.55,9
86,2037.98,9
87,2029.42,9
88,2021.53,9
89,2021.53,9
90,2008.5,9
91,2008.5,9
92,1998.15,9
93,1987.56,9
94,1987.56,9
95,1978.97,9
96,1978.97,9
97,1959.17,9
98,1959.17,9
99,1959.17,9
100,1959.17,9
101,1959.17,9
102,1942.21,9
103,1930.97,9
104,1912.14,9
105,1902.28,9
106,1902.28,9
107,1902.28,9
108,1902.28,9
109,1902.28,9
110,1902.28,9
111,1902.28,9
112,1902.28,9
113,1902.28,9
114,1894.47,9
115,1894.47,9
116,1894.47,9
117,1894.47,9
118,1894.47,9
119,1894.47,9
120,1886.26,9
121,1886.26,9
122,1886.26,9
123,1886.26,9
124,1886.26,9
125,1886.26,9
126,1879.68,9
127,1879.68,9
128,1879.68,9
129,1879.68,9
130,1879.68,9
131,1879.68,9
132,1879.68,9
133,1870.5,9
134,1870.5,9
135,1870.5,9
136,1870.5,9
137,1870.5,9
138,1870.5,9
139,1870.5,9
140,1870.5,9
141,1870.5,9
142,1870.5,9
143,1870.5,9
144,1870.5,9
145,1870.5,9
146,1870.5,9
147,1870.5,9
148,1870.5,9
149,1870.5,9
150,1870.5,9
151,1870.5,9
152,1870.5,9
153,1870.5,9
154,1870.5,9
155,1870.5,9
156,1870.5,9
157,1870.5,9
158,1870.5,9
159,1870.5,9
160,1870.5,9
161,1870.5,9
162,1870.5,9
163,1870.5,9
164,1870.5,9
165,1870.5,9
166,1870.5,9
167,1870.5,9
168,1870.5,9
169,1870.5,9
170,1870.5,9
171,1870.5,9
172,1870.5,9
173,1870.5,9
174,1870.5,9
175,1870.5,9
176,1870.5,9
177,1870.5,9
178,1870.5,9
179,1870.5,9
180,1870.5,9
181,1870.5,9
182,1870.5,9
183,1870.5,9
184,1870.5,9
185,1870.5,9
186,1870.5,9
187,1870.5,9
188,1870.5,9
189,1870.5,9
190,1870.5,9
191,1870.5,9
192,1870.5,9
193,1870.5,9
194,1870.5,9
195,1866.99,9
196,1866.99,9
197,1866.99,9
198,1866.99,9
199,1865.09,9
200,1865.09,9
201,1865.09,9
202,1865.09,9
203,1858.15,9
204,1858.15,9
205,1858.15,9
206,1858.15,9
207,1856.32,9
208,1839.47,9
209,1839.47,9
210,1839.47,9
211,1839.47,9
212,1839.47,9
213,1839.47,9
214,1839.47,9
215,1839.47,9
216,1839.47,9
217,1839.47,9
218,1839.47,9
219,1839.47,9
220,1839.47,9
221,1839.47,9
222,1839.47,9
223,1839.47,9
224,1839.47,9
225,1839.47,9
226,1839.47,9
227,1839.47,9
228,1839.47,9
229,1839.47,9
230,1839.47,9
231,1839.47,9
232,1839.47,9
233,1839.47,9
234,1839.47,9
235,1839.47,9
236,1839.47,9
237,1835.6,9
238,1835.6,9
239,1835.6,9
240,1835.6,9
241,1835.6,9
242,1835.6,9
243,1835.6,9
244,1835.6,9
245,1835.6,9
246,1835.6,9
247,1835.6,9
248,1806.33,9
249,1806.33,9
250,1806.33,9
251,1806.33,9
252,1806.33,9
253,1806.33,9
254,1806.33,9
255,1806.33,9
256,1806.33,9
257,1806.33,9
258,1806.33,9
259,1801.13,9
260,1801.13,9
261,1780.66,9
262,1780.66,9
263,1776.9,9
264,1776.9,9
265,1776.9,9
266,1776.9,9
267,1770.21,9
268,1770.21,9
269,1769.57,9
270,1769.57,9
271,1765.74,9
272,1765.74,9
273,1765.74,9
274,1765.74,9
275,1765.74,9
276,1765.74,9
277,1765.74,9
278,1765.74,9
279,1765.74,9
280,1765.74,9
281,1765.74,9
282,1765.74,9
283,1765.74,9
284,1765.74,9
285,1765.74,9
286,1765.74,9
287,1765.74,9
288,1765.74,9
289,1765.74,9
290,1765.74,9
291,1765.74,9
292,1765.74,9
293,1765.74,9
294,1765.74,9
295,1765.74,9
296,1765.74,9
297,1765.74,9
298,1765.74,9
299,1765.74,9
300,1765.74,9
301,1765.74,9
302,1765.74,9
303,1765.74,9
304,1765.74,9
305,1765.74,9
306,1765.74,9
307,1765.74,9
308,1765.74,9
309,1765.74,9
310,1765.74,9
311,1765.74,9
312,1765.74,9
313,1765.74,9
314,1757.29,9
315,1757.29,9
316,1757.29,9
317,1757.29,9
318,1757.29,9
319,1757.29,9
320,1747.87,9
321,1747.87,9
322,1747.87,9
323,1747.87,9
324,1745.01,9
325,1745.01,9
326,1745.01,9
327,1745.01,9
328,1745.01,9
329,1745.01,9
330,1745.01,9
331,1745.01,9
332,1745.01,9
333,1744.76,9
334,1744.76,9
335,1744.76,9
336,1734.49,9
337,1734.49,9
338,1734.49,9
339,1734.49,9
340,1734.49,9
341,1734.49,9
342,1734.49,9
343,1732.69,9
344,1732.69,9
345,1732.69,9
346,1732.69,9
347,1732.69,9
348,1721.22,9
349,1721.22,9
350,1721.22,9
351,1721.22,9
352,1721.22,9
353,1721.22,9
354,1721.22,9
355,1721.22,9
356,1721.22,9
357,1721.22,9
358,1721.22,9
359,1721.22,9
360,1721.22,9
361,1721.22,9
362,1721.22,9
363,1721.22,9
364,1721.22,9
365,1721.22,9
366,1721.22,9
367,1721.22,9
368,1721.22,9
369,1721.22,9
370,1721.22,9
371,1721.22,9
372,1721.22,9
373,1721.22,9
374,1721.22,9
375,1721.22,9
376,1719.87,9
377,1719.87,9
378,1719.87,9
379,1714.68,9
380,1714.68,9
381,1714.68,9
382,1710.87,9
383,1710.87,9
384,1710.87,9
385,1710.87,9
386,1710.87,9
387,1709.68,9
388,1709.68,9
389,1703.7,9
390,1703.7,9
391,1703.7,9
392,1703.7,9
393,1703.7,9
394,1703.7,9
395,1703.7,9
396,1703.7,9
397,1688.27,9
398,1688.27,9
399,1688.27,9
400,1688.27,9
401,1688.27,9
402,1688.27,9
403,1677.13,9
404,1677.13,9
405,1677.13,9
406,1674.97,9
407,1674.97,9
408,1674.97,9
409,1674.97,9
410,1674.97,9
411,1674.97,9
412,1674.97,9
413,1674.97,9
414,1656.2,9
415,1656.2,9
416,1656.2,9
417,1652.28,9
418,1652.28,9
419,1652.28,9
420,1652.28,9
421,1652.28,9
422,1652.28,9
423,1652.28,9
424,1652.28,9
425,1652.28,9
426,1628.55,9
427,1628.55,9
428,1628.55,9
429,1627.89,9
430,1627.89,9
431,1627.1,9
432,1627.1,9
433,1627.1,9
434,1627.1,9
435,1627.1,9
436,1627.1,9
437,1627.1,9
438,1627.1,9
439,1625.25,9
440,1625.25,9
441,1625.25,9
442,1625.25,9
443,1624.59,9
444,1624.59,9
445,1624.59,9
446,1624.59,9
447,1624.59,9
448,1624.59,9
449,1624.59,9
450,1624.59,9
451,1624.59,9
452,1624.59,9
453,1624.59,9
454,1624.59,9
455,1624.59,9
456,1624.59,9
457,1622.58,9
458,1622.58,9
459,1622.58,9
460,1622.58,9
461,1622.58,9
462,1622.58,9
463,1622.58,9
464,1622.58,9
465,1622.58,9
466,1622.58,9
467,1622.58,9
468,1622.58,9
469,1622.58,9
470,1622.58,9
471,1622.58,9
472,1622.03,9
473,1622.03,9
474,1622.03,9
475,1622.03,9
476,1622.03,9
477,1622.03,9
478,1622.03,9
479,1622.03,9
480,1622.03,9
481,1622.03,9
482,1622.03,9
483,1622.03,9
484,1622.03,9
485,1622.03,9
486,1622.03,9
