Generation,Distance,Routes
1,3847.25,52
2,3886.88,51
3,3739.69,48
4,3750.04,47
5,3618.72,46
6,3756.51,44
7,3580.3,42
8,3507.14,41
9,3411.85,40
10,3360.14,39
11,3240.31,38
12,3225.29,37
13,3242.18,34
14,3145.36,34
15,3144.01,33
16,3073.7,32
17,3077.72,30
18,3041.78,29
19,3001.57,29
20,2831.48,29
21,2798.55,27
22,2821.65,26
23,2831.43,25
24,2725.85,25
25,2562.78,25
26,2505.89,24
27,2516.32,23
28,2371.55,22
29,2385.54,23
30,2269.02,21
31,2341.42,20
32,2336.86,20
33,2225.72,20
34,2297.99,19
35,2245.74,19
36,2249.99,18
37,2189.75,18
38,2203.29,18
39,2239.67,17
40,2292.88,16
41,2200.74,16
42,2186.24,16
43,2179.47,16
44,2177.26,16
45,2098.82,16
46,2055.3,16
47,2136.46,16
48,2058.44,16
49,2117.98,16
50,2052.25,15
51,2061.33,15
52,2030.51,15
53,2050.67,15
54,2048.71,15
55,2060.38,15
56,2088.43,15
57,2030.62,16
58,2028.45,16
59,2066.43,15
60,2074.94,15
61,2082.35,15
62,2079.26,15
63,2077.91,15
64,1973.45,15
65,1986.01,15
66,2006.63,15
67,1994.69,15
68,1968.82,16
69,1966.57,16
70,1984.99,15
71,1973.33,15
72,1991.46,15
73,1950,15
74,1965.55,15
75,1984.99,15
76,1996.65,15
77,1996.65,15
78,2014.14,15
79,1967.69,15
80,1941.32,15
81,2000.09,15
82,1997.93,15
83,1959.61,15
84,1946.1,15
85,1908,15
86,1905.59,15
87,1903.34,15
88,1947.87,15
89,1943.43,15
90,1943.43,15
91,1976.71,15
92,1914.33,15
93,1917.79,15
94,1913.52,15
95,1924.07,15
96,1906.95,15
97,1926.13,15
98,1926.13,15
99,1949.5,15
100,1940.59,15
101,1948.47,15
102,1960.48,15
103,1949.29,15
104,1962.35,15
105,1964.18,15
106,1919.8,15
107,1903.52,15
108,1936.09,15
109,1919.8,15
110,1896.43,15
111,1891.01,15
112,1883.99,15
113,1885.85,15
114,1876.33,15
115,1885.85,15
116,1891.82,15
117,1883.99,15
118,1879.64,15
119,1890.01,15
120,1871.62,15
121,1890.42,15
122,1900.95,15
123,1861.58,15
124,1861.58,15
125,1854.2,15
126,1854.2,15
127,1849.29,15
128,1875.78,15
129,1851.09,15
130,1848.94,15
131,1844.99,15
132,1844.99,15
133,1850.57,15
134,1858.85,15
135,1851.52,15
136,1855.54,15
137,1844,15
138,1845.1,15
139,1845.1,15
140,1846.28,15
141,1861.27,15
142,1851.15,15
143,1851.15,15
