Generation,Distance,Routes
1,3804,51
2,3622.91,50
3,3815.55,47
4,3620.02,46
5,3461.8,46
6,3477.14,42
7,3333.83,44
8,3254.47,42
9,3219.38,40
10,3247.26,39
11,3218.98,37
12,3121.34,37
13,3111.31,35
14,3126.75,33
15,3020.04,33
16,3057.41,31
17,2988,30
18,2964.21,29
19,2894.09,28
20,2790.77,28
21,2715.74,28
22,2659.36,26
23,2608.47,26
24,2661.31,24
25,2558.04,24
26,2592.96,23
27,2505.67,23
28,2474.42,22
29,2487.76,21
30,2403.98,22
31,2396.97,21
32,2349.58,21
33,2377.08,20
34,2406.45,18
35,2350.5,19
36,2287.99,19
37,2296.66,18
38,2367.1,17
39,2325.24,18
40,2296.95,17
41,2255.02,17
42,2295.6,16
43,2297.49,16
44,2231.61,16
45,2208.73,16
46,2198.65,17
47,2210.21,16
48,2230.94,16
49,2155.77,17
50,2150.79,16
51,2124.8,16
52,2147.19,16
53,2145.28,16
54,2120.07,16
55,2102.13,16
56,2079,16
57,2101.03,16
58,2084.34,16
59,2068.32,16
60,2061.85,16
61,2076.02,16
62,2072.49,16
63,2073.33,15
64,2062.99,16
65,2055.69,16
66,2054.73,15
67,2056.39,15
68,2054.54,15
69,2063.77,15
70,2039.97,15
71,2039.48,15
72,2039.48,15
73,2039.48,15
74,2040.92,15
75,2034.24,15
76,2016.01,15
77,2016.01,15
78,2022.27,15
79,2025.39,15
80,2005.58,15
81,2008.36,15
82,1998.61,15
83,1998.46,15
84,1995.13,16
85,1998.8,15
86,2000.37,15
87,1999.22,15
88,2001.29,15
89,1999.22,15
90,1974.41,15
91,1974.41,15
92,1974.41,15
93,1974.41,15
94,1974.41,15
95,1974.41,15
96,1974.41,15
97,1974.41,15
98,1974.41,15
99,1974.41,15
100,1974.41,15
101,1974.41,15
102,1974.41,15
103,1974.41,15
104,1974.41,15
105,1974.41,15
106,1974.41,15
107,1974.41,15
108,1974.41,15
109,1974.41,15
110,1974.41,15
111,1974.41,15
112,1974.41,15
113,1974.41,15
114,1974.41,15
115,1974.41,15
116,1974.41,15
117,1974.41,15
118,1974.41,15
119,1974.41,15
120,1974.41,15
121,1974.41,15
122,1974.41,15
123,1974.41,15
124,1974.41,15
125,1974.41,15
126,1974.41,15
127,1974.41,15
128,1974.41,15
129,1974.41,15
130,1974.41,15
131,1974.41,15
132,1974.41,15
133,1967.96,15
134,1967.96,15
135,1967.96,15
136,1967.96,15
137,1963.31,15
138,1963.31,15
139,1963.31,15
140,1963.31,15
141,1963.31,15
142,1963.31,15
143,1963.31,15
144,1963.31,15
145,1963.31,15
146,1963.31,15
147,1963.31,15
148,1963.31,15
149,1963.31,15
150,1963.31,15
151,1963.31,15
152,1963.31,15
153,1963.31,15
154,1963.31,15
155,1963.31,15
156,1963.31,15
157,1963.31,15
158,1957.28,15
159,1957.28,15
160,1957.28,15
161,1957.28,15
162,1957.28,15
163,1956.35,15
164,1957.28,15
165,1957.28,15
166,1957.28,15
167,1957.28,15
168,1957.28,15
169,1957.28,15
170,1957.28,15
171,1957.28,15
172,1957.28,15
173,1957.28,15
174,1957.28,15
175,1957.28,15
176,1957.28,15
177,1957.28,15
178,1957.28,15
179,1957.28,15
180,1957.28,15
181,1957.28,15
182,1957.28,15
183,1957.28,15
184,1957.28,15
185,1957.28,15
186,1957.28,15
187,1957.28,15
188,1957.28,15
189,1957.28,15
190,1957.28,15
191,1957.28,15
192,1957.28,15
193,1957.28,15
194,1957.28,15
195,1957.28,15
196,1957.28,15
197,1957.28,15
198,1939.92,15
199,1939.92,15
200,1939.92,15
201,1939.92,15
202,1939.92,15
203,1939.92,15
204,1939.92,15
205,1939.92,15
206,1939.92,15
207,1939.92,15
208,1939.92,15
209,1939.92,15
210,1939.92,15
211,1939.92,15
212,1939.92,15
213,1939.92,15
214,1939.92,15
215,1939.92,15
216,1939.92,15
217,1930.31,15
218,1930.31,15
219,1930.31,15
220,1930.31,15
221,1930.31,15
222,1926.17,15
223,1926.17,15
224,1926.17,15
225,1926.17,15
226,1926.17,15
227,1926.17,15
228,1926.17,15
229,1926.17,15
230,1926.17,15
231,1926.17,15
232,1926.17,15
233,1926.17,15
234,1924.06,15
235,1924.06,15
236,1924.06,15
237,1924.06,15
238,1924.06,15
239,1924.06,15
240,1924.06,15
241,1924.06,15
242,1924.06,15
243,1924.06,15
244,1924.06,15
245,1924.06,15
246,1924.06,15
247,1924.06,15
248,1924.06,15
249,1924.06,15
250,1924.06,15
251,1924.06,15
252,1924.06,15
253,1924.06,15
254,1924.06,15
255,1924.06,15
256,1924.06,15
257,1924.06,15
258,1924.06,15
259,1924.06,15
260,1924.06,15
261,1924.06,15
262,1924.06,15
263,1924.06,15
264,1924.06,15
265,1924.06,15
266,1924.06,15
267,1924.06,15
268,1924.06,15
269,1924.06,15
270,1924.06,15
271,1924.06,15
272,1924.06,15
273,1924.06,15
274,1924.06,15
275,1924.06,15
276,1924.06,15
277,1924.06,15
278,1924.06,15
279,1924.06,15
280,1924.06,15
281,1924.06,15
282,1924.06,15
283,1924.06,15
284,1924.06,15
285,1924.06,15
286,1924.06,15
287,1924.06,15
288,1924.06,15
289,1924.06,15
290,1924.06,15
291,1924.06,15
292,1924.06,15
293,1924.06,15
294,1924.06,15
295,1924.06,15
296,1924.06,15
297,1924.06,15
298,1924.06,15
299,1924.06,15
300,1924.06,15
301,1924.06,15
302,1924.06,15
303,1924.06,15
304,1924.06,15
305,1924.06,15
306,1924.06,15
307,1923.79,15
308,1923.21,15
309,1923.28,15
310,1923.13,15
311,1920.91,15
312,1923.85,15
313,1923.87,15
314,1924.06,15
315,1924.06,15
316,1924.06,15
317,1924.06,15
318,1924.06,15
319,1924.06,15
320,1924.06,15
321,1924.06,15
322,1924.06,15
323,1924.06,15
324,1924.06,15
325,1924.06,15
326,1924.06,15
327,1924.06,15
328,1924.06,15
329,1924.06,15
330,1924.06,15
331,1924.06,15
332,1924.06,15
333,1924.06,15
334,1924.06,15
335,1924.06,15
336,1924.06,15
337,1924.06,15
338,1924.06,15
339,1924.06,15
340,1924.06,15
341,1924.06,15
342,1924.06,15
343,1924.06,15
344,1924.06,15
345,1924.06,15
346,1924.06,15
347,1924.06,15
348,1924.06,15
349,1924.06,15
350,1924.06,15
351,1924.06,15
352,1924.06,15
353,1924.06,15
354,1924.06,15
355,1924.06,15
356,1921.96,15
357,1921.96,15
358,1921.96,15
359,1921.96,15
360,1921.96,15
361,1921.96,15
362,1921.96,15
363,1921.96,15
364,1921.96,15
365,1921.96,15
366,1921.96,15
367,1921.96,15
368,1921.96,15
369,1921.96,15
370,1917.1,15
371,1917.1,15
372,1917.1,15
373,1917.1,15
374,1917.1,15
375,1917.1,15
376,1917.1,15
377,1917.1,15
378,1917.1,15
379,1917.1,15
380,1917.1,15
381,1917.1,15
382,1917.1,15
383,1917.1,15
384,1917.1,15
385,1917.1,15
386,1917.1,15
387,1917.1,15
388,1917.1,15
389,1917.1,15
390,1909.55,15
391,1909.55,15
392,1909.55,15
393,1909.55,15
394,1909.55,15
395,1909.55,15
396,1909.55,15
397,1909.55,15
398,1909.55,15
399,1909.55,15
400,1909.55,15
401,1909.55,15
402,1909.55,15
403,1909.55,15
404,1909.55,15
405,1909.55,15
406,1909.55,15
407,1909.55,15
408,1909.55,15
409,1909.55,15
410,1909.55,15
411,1909.55,15
412,1909.55,15
413,1900.71,15
414,1900.71,15
415,1900.71,15
416,1900.71,15
417,1900.71,15
418,1900.71,15
419,1900.71,15
420,1900.71,15
421,1900.71,15
422,1900.71,15
423,1900.71,15
424,1900.71,15
425,1900.71,15
426,1900.71,15
427,1900.71,15
428,1900.71,15
429,1900.71,15
430,1900.71,15
431,1900.71,15
432,1900.71,15
433,1900.71,15
434,1900.71,15
435,1900.71,15
436,1900.71,15
437,1900.71,15
438,1900.71,15
439,1900.71,15
440,1900.71,15
441,1900.71,15
442,1900.71,15
443,1900.71,15
444,1894.83,15
445,1889.32,15
446,1889.32,15
447,1889.32,15
448,1889.32,15
449,1889.32,15
450,1889.32,15
451,1889.32,15
452,1889.32,15
453,1889.32,15
454,1889.32,15
455,1889.32,15
456,1889.32,15
457,1889.32,15
458,1889.32,15
459,1889.32,15
460,1889.32,15
461,1889.32,15
462,1889.32,15
463,1889.32,15
464,1889.32,15
465,1889.32,15
466,1889.32,15
467,1889.32,15
468,1887.79,15
469,1887.79,15
470,1887.79,15
471,1887.79,15
472,1887.79,15
473,1887.79,15
474,1887.79,15
475,1887.79,15
476,1886.32,15
477,1886.32,15
478,1886.32,15
479,1886.32,15
480,1886.32,15
481,1886.32,15
482,1886.32,15
483,1886.32,15
484,1886.32,15
485,1886.32,15
486,1886.32,15
487,1886.32,15
488,1886.32,15
489,1886.32,15
490,1886.32,15
491,1886.32,15
492,1886.32,15
493,1886.32,15
494,1886.32,15
495,1886.32,15
496,1886.32,15
497,1886.32,15
498,1886.32,15
499,1886.32,15
500,1886.32,15
