Generation,Distance,Routes
1,4850.36,53
2,4581.35,51
3,4253.81,48
4,4007.31,46
5,3786.22,43
6,3640.07,41
7,3558.2,40
8,3461.81,38
9,3378.33,36
10,3267.16,35
11,3143.77,34
12,3013.42,32
13,2885.3,31
14,2793.12,29
15,2708.03,28
16,2636.26,27
17,2565.74,25
18,2502.94,24
19,2431.45,23
20,2366,22
21,2301.27,21
22,2248.32,20
23,2168.58,19
24,2099.08,18
25,2042.77,17
26,1990.69,16
27,1951.63,16
28,1925.33,15
29,1908.07,15
30,1902.86,14
31,1874.1,14
32,1851,14
33,1833.24,14
34,1806.43,14
35,1807.71,13
36,1794.2,13
37,1775.32,13
38,1776,13
39,1747.28,13
40,1743.2,13
41,1720.13,13
42,1710.11,12
43,1694.4,12
44,1677.72,12
45,1641.92,12
46,1643.69,12
47,1635.58,12
48,1626.24,12
49,1619.68,12
50,1599.84,12
51,1572.5,12
52,1552.43,12
53,1543.05,12
54,1537.37,12
55,1592.53,11
56,1636.75,11
57,1736.35,11
58,1815.31,10
59,1874,10
60,1812.03,10
61,1716.5,11
62,1683.71,11
63,1620.11,11
64,1593.39,11
65,1583.98,11
66,1591.66,11
67,1570.23,11
68,1573.47,11
69,1584.64,11
70,1613.32,11
71,1637.36,10
72,1638.86,10
73,1629.05,10
74,1638.33,10
75,1602.53,10
76,1506.76,10
77,1336.47,10
78,1245.55,10
79,1188.76,10
80,1159.33,10
81,1131.1,10
82,1113.42,10
83,1103.79,10
84,1097.05,10
85,1089.56,10
86,1086.96,10
87,1086.17,10
88,1086.27,10
89,1085.46,10
90,1085.4,10
91,1085.27,10
92,1084.86,10
93,1083.72,10
94,1081.83,10
95,1080.8,10
96,1080.6,10
97,1080.57,10
98,1080.59,10
99,1080.55,10
100,1080.55,10
101,1080.55,10
102,1080.55,10
103,1080.55,10
104,1080.55,10
105,1080.55,10
106,1080.55,10
107,1080.55,10
108,1080.55,10
109,1080.55,10
110,1080.55,10
111,1080.55,10
112,1080.55,10
113,1080.55,10
114,1080.55,10
115,1080.55,10
116,1080.55,10
117,1080.55,10
118,1080.55,10
119,1080.55,10
120,1080.55,10
121,1080.55,10
122,1080.55,10
123,1080.55,10
124,1080.55,10
125,1080.55,10
126,1080.55,10
127,1080.55,10
128,1080.55,10
129,1080.55,10
130,1080.55,10
131,1080.55,10
132,1080.55,10
133,1080.55,10
134,1080.55,10
135,1080.55,10
136,1080.55,10
137,1080.55,10
138,1080.55,10
139,1080.55,10
140,1080.55,10
141,1080.55,10
142,1080.55,10
143,1080.55,10
144,1080.55,10
145,1080.55,10
146,1080.55,10
147,1080.55,10
148,1080.55,10
149,1080.55,10
150,1080.55,10
151,1080.55,10
152,1080.55,10
153,1080.55,10
154,1080.55,10
155,1080.55,10
156,1080.55,10
157,1080.55,10
158,1080.55,10
159,1080.55,10
160,1080.55,10
161,1080.55,10
162,1080.55,10
163,1080.55,10
164,1080.55,10
165,1080.55,10
166,1080.55,10
167,1080.55,10
168,1080.55,10
169,1080.55,10
170,1080.55,10
171,1080.55,10
172,1080.55,10
173,1080.55,10
174,1080.55,10
175,1080.55,10
176,1080.55,10
177,1080.55,10
178,1080.55,10
179,1080.55,10
180,1080.55,10
181,1080.55,10
182,1080.55,10
183,1080.55,10
184,1080.55,10
185,1080.55,10
186,1080.55,10
187,1080.55,10
188,1080.55,10
189,1080.55,10
190,1080.55,10
191,1080.55,10
192,1080.55,10
193,1080.55,10
194,1080.55,10
195,1080.55,10
196,1080.55,10
197,1080.55,10
198,1080.55,10
199,1080.55,10
200,1080.55,10
201,1080.55,10
202,1080.55,10
203,1080.55,10
204,1080.55,10
205,1080.55,10
206,1080.55,10
207,1080.55,10
208,1080.55,10
209,1080.55,10
210,1080.55,10
211,1080.55,10
212,1080.55,10
213,1080.55,10
214,1080.55,10
215,1080.55,10
216,1080.55,10
217,1080.55,10
218,1080.55,10
219,1080.55,10
220,1080.55,10
221,1080.55,10
222,1080.55,10
223,1080.55,10
224,1080.55,10
225,1080.55,10
226,1080.55,10
227,1080.55,10
228,1080.55,10
229,1080.55,10
230,1080.55,10
231,1080.55,10
232,1080.55,10
233,1080.55,10
234,1080.55,10
235,1080.55,10
236,1080.55,10
237,1080.55,10
238,1080.55,10
239,1080.55,10
240,1080.55,10
241,1080.55,10
242,1080.55,10
243,1080.55,10
244,1080.55,10
245,1080.55,10
246,1080.55,10
247,1080.55,10
248,1080.55,10
249,1080.55,10
250,1080.55,10
251,1080.55,10
252,1080.55,10
253,1080.55,10
254,1080.55,10
255,1080.55,10
256,1080.55,10
257,1080.55,10
258,1080.55,10
259,1080.55,10
260,1080.55,10
261,1080.55,10
262,1080.55,10
263,1080.55,10
264,1080.55,10
265,1080.55,10
266,1080.55,10
267,1080.55,10
268,1080.55,10
269,1080.55,10
270,1080.55,10
271,1080.55,10
272,1080.55,10
273,1080.55,10
274,1080.55,10
275,1080.55,10
276,1080.55,10
277,1080.55,10
278,1080.55,10
279,1080.55,10
280,1080.55,10
281,1080.55,10
282,1080.55,10
283,1080.55,10
284,1080.55,10
285,1080.55,10
286,1080.55,10
287,1080.55,10
288,1080.55,10
289,1080.55,10
290,1080.55,10
291,1080.55,10
292,1080.55,10
293,1080.55,10
294,1080.55,10
295,1080.55,10
296,1080.55,10
297,1080.55,10
298,1080.55,10
299,1080.55,10
300,1080.55,10
301,1080.55,10
302,1080.55,10
303,1080.55,10
304,1080.55,10
305,1080.55,10
306,1080.55,10
307,1080.55,10
308,1080.55,10
309,1080.55,10
310,1080.55,10
311,1080.55,10
312,1080.55,10
313,1080.55,10
314,1080.55,10
315,1080.55,10
316,1080.55,10
317,1080.55,10
318,1080.55,10
319,1080.55,10
320,1080.55,10
321,1080.55,10
322,1080.55,10
323,1080.55,10
324,1080.55,10
325,1080.55,10
326,1080.55,10
327,1080.55,10
328,1080.55,10
329,1080.55,10
330,1080.55,10
331,1080.55,10
332,1080.55,10
333,1080.55,10
334,1080.55,10
335,1080.55,10
336,1080.55,10
337,1080.55,10
338,1080.55,10
339,1080.55,10
340,1080.55,10
341,1080.55,10
342,1080.55,10
343,1080.55,10
344,1080.55,10
345,1080.55,10
346,1080.55,10
347,1080.55,10
348,1080.55,10
349,1080.55,10
350,1080.55,10
351,1080.55,10
352,1080.55,10
353,1080.55,10
354,1080.55,10
355,1080.55,10
356,1080.55,10
357,1080.55,10
358,1080.55,10
359,1080.55,10
360,1080.55,10
361,1080.55,10
362,1080.55,10
363,1080.55,10
364,1080.55,10
365,1080.55,10
366,1080.55,10
367,1080.55,10
368,1080.55,10
369,1080.55,10
370,1080.55,10
371,1080.55,10
372,1080.55,10
373,1080.55,10
374,1080.55,10
375,1080.55,10
376,1080.55,10
377,1080.55,10
378,1080.55,10
379,1080.55,10
380,1080.55,10
381,1080.55,10
382,1080.55,10
383,1080.55,10
384,1080.55,10
385,1080.55,10
386,1080.55,10
387,1080.55,10
388,1080.55,10
389,1080.55,10
390,1080.55,10
391,1080.55,10
392,1080.55,10
393,1080.55,10
394,1080.55,10
395,1080.55,10
396,1080.55,10
397,1080.55,10
398,1080.55,10
399,1080.55,10
400,1080.55,10
401,1080.55,10
402,1080.55,10
403,1080.55,10
404,1080.55,10
405,1080.55,10
406,1080.55,10
407,1080.55,10
408,1080.55,10
409,1080.55,10
410,1080.55,10
411,1080.55,10
412,1080.55,10
413,1080.55,10
414,1080.55,10
415,1080.55,10
416,1080.55,10
417,1080.55,10
418,1080.55,10
419,1080.55,10
420,1080.55,10
421,1080.55,10
422,1080.55,10
423,1080.55,10
424,1080.55,10
425,1080.55,10
426,1080.55,10
427,1080.55,10
428,1080.55,10
429,1080.55,10
430,1080.55,10
431,1080.55,10
432,1080.55,10
433,1080.55,10
434,1080.55,10
435,1080.55,10
436,1080.55,10
437,1080.55,10
438,1080.55,10
439,1080.55,10
440,1080.55,10
441,1080.55,10
442,1080.55,10
443,1080.55,10
444,1080.55,10
445,1080.55,10
446,1080.55,10
447,1080.55,10
448,1080.55,10
449,1080.55,10
450,1080.55,10
451,1080.55,10
452,1080.55,10
453,1080.55,10
454,1080.55,10
455,1080.55,10
456,1080.55,10
457,1080.55,10
458,1080.55,10
459,1080.55,10
460,1080.55,10
461,1080.55,10
462,1080.55,10
463,1080.55,10
464,1080.55,10
465,1080.55,10
466,1080.55,10
467,1080.55,10
468,1080.55,10
469,1080.55,10
470,1080.55,10
471,1080.55,10
472,1080.55,10
473,1080.55,10
474,1080.55,10
475,1080.55,10
476,1080.55,10
477,1080.55,10
478,1080.55,10
479,1080.55,10
480,1080.55,10
481,1080.55,10
482,1080.55,10
483,1080.55,10
484,1080.55,10
485,1080.55,10
486,1080.55,10
487,1080.55,10
488,1080.55,10
489,1080.55,10
490,1080.55,10
491,1080.55,10
492,1080.55,10
493,1080.55,10
494,1080.55,10
495,1080.55,10
496,1080.55,10
497,1080.55,10
498,1080.55,10
499,1080.55,10
500,1080.55,10
