Generation,Distance,Routes
1,4245.17,56
2,4079.72,54
3,3918.73,52
4,3800.92,49
5,3676.61,47
6,3579.24,45
7,3455.76,44
8,3342.89,43
9,3286.76,41
10,3288,40
11,3201.74,39
12,3144.57,37
13,3061.67,36
14,3040.69,35
15,2985.75,34
16,2951.93,33
17,2882.16,33
18,2831.07,31
19,2811.84,30
20,2776.01,30
21,2752.15,29
22,2732.93,28
23,2697.09,27
24,2649.31,27
25,2615.95,26
26,2583.43,25
27,2581.33,24
28,2565.86,23
29,2557.21,22
30,2527.05,21
31,2501.23,21
32,2489.23,20
33,2483.35,20
34,2448.29,20
35,2430.46,20
36,2433.91,19
37,2418.37,19
38,2397.42,19
39,2392.37,19
40,2387.95,19
41,2339.82,19
42,2330.36,19
43,2325.29,18
44,2308.33,18
45,2291.66,18
46,2286.11,18
47,2280.92,18
48,2267.97,18
49,2255.61,18
50,2269.11,17
51,2242.04,17
52,2262.16,17
53,2253.07,17
54,2254.92,17
55,2235.77,17
56,2226.18,17
57,2227.79,17
58,2229.64,16
59,2215.39,16
60,2239.65,16
61,2251.59,16
62,2251.44,16
63,2248.1,16
64,2227.93,16
65,2231,16
66,2193.35,17
67,2179.87,16
68,2164.15,16
69,2182.06,16
70,2187.6,16
71,2184.9,16
72,2188.74,16
73,2206.25,16
74,2207.86,16
75,2195.92,16
76,2176.51,16
77,2179.24,16
78,2175.87,16
79,2190.18,16
80,2204.13,16
81,2190.06,16
82,2195.54,16
83,2199.42,15
84,2204.05,15
85,2219.19,15
86,2228.17,15
87,2215.75,15
88,2231.07,15
89,2232.48,15
90,2223.9,15
91,2214.87,16
92,2207.78,15
93,2185.21,16
94,2194.62,16
95,2181.51,15
96,2180.87,15
97,2189.45,15
98,2178.43,15
99,2178.73,15
100,2178.71,15
101,2191.47,15
102,2192.5,15
103,2200.61,15
104,2202,15
105,2199.16,15
106,2197.91,15
107,2187.2,15
108,2160.99,15
109,2162.01,15
110,2154.25,15
111,2147.58,15
112,2146.25,15
113,2146.74,15
114,2160.47,15
115,2175.94,15
116,2166.94,15
117,2146.93,15
118,2147.93,15
119,2147.6,15
120,2163.55,15
121,2164.44,15
122,2158.05,15
123,2154.63,15
124,2148.82,15
125,2164.89,15
126,2155.17,15
127,2147.9,15
128,2159.71,15
129,2161.52,15
130,2162.16,15
131,2170.6,15
132,2166.31,15
133,2163.38,15
134,2140.81,15
135,2151.39,15
136,2146.77,15
137,2126.51,15
138,2128.95,15
