Generation,Distance,Routes
1,7.31389,0
2,7.17874,0
3,14.2451,0
4,21.0379,0
5,15.4755,0
6,28.3378,0
7,33.9652,0
8,12.5694,0
9,11.8258,0
10,17.2423,0
11,11.2845,0
12,21.9967,0
13,10.8654,0
14,15.6152,0
15,9.847,0
16,9.87319,0
17,9.6624,0
18,9.05356,0
19,9.32278,0
20,9.1172,0
21,3.93386,0
22,7.64977,0
23,7.47577,0
24,7.27807,0
25,14.7192,0
26,10.8584,0
27,14.4981,0
28,10.8166,0
29,10.3272,0
30,17.173,0
31,10.2792,0
32,13.3538,0
33,30.8563,0
34,16.2401,0
35,9.68731,0
36,9.75532,0
37,9.73174,0
38,12.3645,0
39,12.2958,0
40,9.21614,0
41,21.1714,0
42,17.8169,0
43,20.5066,0
44,8.81439,0
45,5.96644,0
46,18.6579,0
47,29.0316,0
48,21.7056,0
49,15.0175,0
50,12.0306,0
51,19.7418,0
52,47.0187,0
53,83.2639,0
54,19.7371,0
55,14.1662,0
56,37.4929,0
57,14.1747,0
58,11.6402,0
59,16.5689,0
60,31.771,0
61,11.5682,0
62,13.8822,0
63,13.764,0
64,18.7701,0
65,16.011,0
66,24.6429,0
67,20.8104,0
68,24.4999,0
69,6.0319,0
70,6.0319,0
71,4.609,0
72,4.69497,0
73,7.10649,0
74,4.5361,0
75,4.5361,0
76,2.20865,0
77,4.4173,0
78,6.62595,0
79,2.19529,0
80,2.17086,0
81,2.17086,0
82,13.0251,0
83,26.0503,0
84,115.055,1
85,399.438,3
86,655.599,6
87,2.17086,0
88,8.68343,0
89,2.16109,0
90,6.48328,0
91,34.5775,0
92,8.64437,0
93,51.8662,0
94,162.082,1
95,330.647,3
96,460.313,4
97,514.34,4
98,589.979,5
99,644.006,5
100,644.006,5
101,678.583,6
102,644.006,5
103,644.006,5
104,732.611,6
105,695.872,6
106,730.45,6
107,706.678,6
108,767.188,7
109,756.383,7
110,715.322,6
111,762.866,7
112,812.571,7
113,771.51,7
114,769.349,7
115,777.994,7
116,754.222,6
117,691.55,6
118,732.611,6
119,717.483,6
120,730.45,6
121,749.9,6
122,754.222,6
123,741.255,6
124,715.322,6
125,663.456,6
126,691.55,6
127,695.872,6
128,741.255,6
129,719.644,6
130,706.678,6
131,689.389,6
132,711,6
133,739.094,6
134,752.061,6
135,771.51,7
136,780.155,7
137,773.672,7
138,713.161,6
139,765.027,7
140,760.705,7
141,726.127,6
142,723.966,6
143,706.678,6
144,702.355,6
145,736.933,6
146,687.228,6
147,654.811,6
148,693.711,6
149,661.295,6
150,723.966,6
151,695.872,6
152,682.906,6
153,719.644,6
154,704.517,6
155,760.705,7
156,721.805,6
157,717.483,6
158,745.577,6
159,769.349,7
160,682.906,6
161,760.705,7
162,773.672,7
163,745.577,6
164,734.772,6
165,728.289,6
166,717.483,6
167,765.027,7
168,786.638,7
169,745.577,6
170,777.994,7
171,773.672,7
172,773.672,7
173,752.061,6
174,715.322,6
175,708.839,6
176,734.772,6
177,795.282,7
178,749.9,6
179,713.161,6
180,739.094,6
181,741.255,6
182,754.222,6
183,711,6
184,693.711,6
185,693.711,6
186,631.039,5
187,644.006,5
188,687.228,6
189,648.328,6
190,644.006,5
191,721.805,6
192,685.067,6
193,695.872,6
194,726.127,6
195,708.839,6
196,732.611,6
197,672.1,6
198,693.711,6
199,650.489,6
200,695.872,6
201,680.745,6
202,700.194,6
203,695.872,6
204,680.745,6
205,654.811,6
206,661.295,6
207,739.094,6
208,672.1,6
209,648.328,6
210,652.65,6
211,687.228,6
212,708.839,6
213,693.711,6
214,644.006,5
215,698.033,6
216,745.577,6
217,723.966,6
218,719.644,6
219,734.772,6
220,754.222,6
221,728.289,6
222,678.583,6
223,654.811,6
224,711,6
225,721.805,6
226,730.45,6
227,732.611,6
228,669.939,6
229,730.45,6
230,698.033,6
231,704.517,6
232,715.322,6
233,674.261,6
234,695.872,6
235,706.678,6
236,669.939,6
237,713.161,6
238,711,6
239,719.644,6
240,700.194,6
241,723.966,6
242,743.416,6
243,741.255,6
244,715.322,6
245,732.611,6
246,754.222,6
247,765.027,7
248,752.061,6
249,739.094,6
250,765.027,7
251,736.933,6
252,708.839,6
253,702.355,6
254,723.966,6
255,723.966,6
256,719.644,6
257,708.839,6
258,741.255,6
259,756.383,7
260,706.678,6
261,711,6
262,685.067,6
263,711,6
264,711,6
265,669.939,6
266,652.65,6
267,687.228,6
268,678.583,6
269,723.966,6
270,665.617,6
271,674.261,6
272,752.061,6
273,773.672,7
274,711,6
275,756.383,7
276,730.45,6
277,745.577,6
278,708.839,6
279,693.711,6
280,693.711,6
281,685.067,6
282,719.644,6
283,698.033,6
284,700.194,6
285,691.55,6
286,713.161,6
287,747.738,6
288,704.517,6
289,723.966,6
290,732.611,6
291,728.289,6
292,732.611,6
293,736.933,6
294,734.772,6
295,777.994,7
296,758.544,7
297,747.738,6
298,691.55,6
299,723.966,6
300,698.033,6
301,704.517,6
302,674.261,6
303,602.945,5
304,648.328,6
305,667.778,6
306,648.328,6
307,704.517,6
308,734.772,6
309,736.933,6
310,723.966,6
311,676.422,6
312,693.711,6
313,689.389,6
314,730.45,6
315,734.772,6
316,752.061,6
317,788.799,7
318,734.772,6
319,760.705,7
320,723.966,6
321,754.222,6
322,749.9,6
323,730.45,6
324,708.839,6
325,704.517,6
326,717.483,6
327,693.711,6
328,739.094,6
329,682.906,6
330,708.839,6
331,719.644,6
332,672.1,6
333,711,6
334,704.517,6
335,665.617,6
336,676.422,6
337,685.067,6
338,708.839,6
339,702.355,6
340,734.772,6
341,715.322,6
342,661.295,6
343,741.255,6
344,680.745,6
345,717.483,6
346,743.416,6
347,728.289,6
348,713.161,6
349,656.972,6
350,661.295,6
351,721.805,6
352,736.933,6
353,715.322,6
354,713.161,6
355,723.966,6
356,741.255,6
357,767.188,7
358,713.161,6
359,782.316,7
360,721.805,6
361,672.1,6
362,676.422,6
363,749.9,6
364,736.933,6
365,728.289,6
366,687.228,6
367,644.006,5
368,700.194,6
369,767.188,7
370,749.9,6
371,777.994,7
372,782.316,7
373,741.255,6
374,700.194,6
375,719.644,6
376,760.705,7
377,749.9,6
378,713.161,6
379,726.127,6
380,665.617,6
381,723.966,6
382,676.422,6
383,682.906,6
384,745.577,6
385,678.583,6
386,704.517,6
387,656.972,6
388,639.684,5
389,762.866,7
390,682.906,6
391,700.194,6
392,680.745,6
393,656.972,6
394,663.456,6
395,713.161,6
396,723.966,6
397,719.644,6
398,713.161,6
399,717.483,6
400,741.255,6
401,719.644,6
402,726.127,6
403,777.994,7
404,704.517,6
405,734.772,6
406,732.611,6
407,782.316,7
408,726.127,6
409,752.061,6
410,734.772,6
411,721.805,6
412,752.061,6
413,715.322,6
414,743.416,6
415,698.033,6
416,734.772,6
417,700.194,6
418,689.389,6
419,667.778,6
420,713.161,6
421,726.127,6
422,752.061,6
423,689.389,6
424,715.322,6
425,721.805,6
426,711,6
427,715.322,6
428,736.933,6
429,749.9,6
430,752.061,6
431,749.9,6
432,734.772,6
433,765.027,7
434,702.355,6
435,719.644,6
436,734.772,6
437,771.51,7
438,704.517,6
439,704.517,6
440,661.295,6
441,646.167,5
442,693.711,6
443,691.55,6
444,682.906,6
445,719.644,6
446,732.611,6
447,700.194,6
448,715.322,6
449,739.094,6
450,695.872,6
451,678.583,6
452,700.194,6
453,728.289,6
454,656.972,6
455,605.106,5
456,704.517,6
457,721.805,6
458,719.644,6
459,669.939,6
460,689.389,6
461,715.322,6
462,702.355,6
463,708.839,6
464,726.127,6
465,736.933,6
466,739.094,6
467,711,6
468,717.483,6
469,711,6
470,687.228,6
471,704.517,6
472,706.678,6
473,715.322,6
474,721.805,6
475,734.772,6
476,717.483,6
477,719.644,6
478,704.517,6
479,704.517,6
480,711,6
481,726.127,6
482,711,6
483,680.745,6
484,715.322,6
485,678.583,6
486,659.134,6
487,678.583,6
488,695.872,6
489,713.161,6
490,719.644,6
491,698.033,6
492,693.711,6
493,704.517,6
494,695.872,6
495,715.322,6
496,693.711,6
497,652.65,6
498,736.933,6
499,723.966,6
500,719.644,6
