Generation,Distance,Routes
1,4223.31,46
2,4174.4,43
3,3729.82,41
4,3416.84,39
5,3308.33,36
6,3082.88,35
7,2883.05,34
8,2763.01,33
9,2633.03,32
10,2547.24,29
11,2414.63,27
12,2298.68,25
13,2192.32,23
14,2096.98,22
15,1984.57,21
16,1878.8,19
17,1751.87,18
18,1657.22,15
19,1525.93,15
20,1445.07,14
21,1384.02,13
22,1325.64,12
23,1362.81,11
24,1242.92,11
25,1205.03,11
26,1199.25,11
27,1191.66,11
28,1171.83,11
29,1171.83,11
30,1160.19,10
31,1047.58,10
32,1046.32,10
33,1045.25,10
34,1045.25,10
35,1043.27,10
36,1043.27,10
37,1043.27,10
38,1043.27,10
39,1043.27,10
40,1043.27,10
41,1043.27,10
42,1043.27,10
43,1043.27,10
44,1043.27,10
45,1043.27,10
46,1043.27,10
47,1043.27,10
48,1043.27,10
49,1043.27,10
50,1043.27,10
51,1043.27,10
52,1043.27,10
53,1043.27,10
54,1043.27,10
55,1043.27,10
56,1043.27,10
57,1043.27,10
58,1043.27,10
59,1043.27,10
60,1043.27,10
61,1043.27,10
62,1043.27,10
63,1043.27,10
64,1043.27,10
65,1043.27,10
66,1043.27,10
67,1043.27,10
68,1043.27,10
69,1043.27,10
70,1043.27,10
71,1043.27,10
72,1043.27,10
73,1043.27,10
74,1043.27,10
75,1043.27,10
76,1043.27,10
77,1043.27,10
78,1043.27,10
79,1043.27,10
80,1043.27,10
81,1043.27,10
82,1043.27,10
83,1043.27,10
84,1043.27,10
85,1043.27,10
86,1043.27,10
87,1043.27,10
88,1043.27,10
89,1043.27,10
90,1043.27,10
91,1043.27,10
92,1043.27,10
93,1043.27,10
94,1043.27,10
95,1043.27,10
96,1043.27,10
97,1043.27,10
98,1043.27,10
99,1043.27,10
100,1043.27,10
101,1043.27,10
102,1043.27,10
103,1043.27,10
104,1043.27,10
105,1043.27,10
106,1043.27,10
107,1043.27,10
108,1043.27,10
109,1043.27,10
110,1043.27,10
111,1043.27,10
112,1043.27,10
113,1043.27,10
114,1043.27,10
115,1043.27,10
116,1043.27,10
117,1043.27,10
118,1043.27,10
119,1043.27,10
120,1043.27,10
121,1043.27,10
122,1043.27,10
123,1043.27,10
124,1043.27,10
125,1043.27,10
126,1043.27,10
127,1043.27,10
128,1043.27,10
129,1043.27,10
130,1043.27,10
131,1043.27,10
132,1043.27,10
133,1043.27,10
134,1043.27,10
135,1043.27,10
136,1043.27,10
137,1043.27,10
138,1043.27,10
139,1043.27,10
140,1043.27,10
141,1043.27,10
142,1043.27,10
143,1043.27,10
144,1043.27,10
145,1043.27,10
146,1043.27,10
147,1043.27,10
148,1043.27,10
149,1043.27,10
150,1043.27,10
151,1043.27,10
152,1043.27,10
153,1043.27,10
154,1043.27,10
155,1043.27,10
156,1043.27,10
157,1043.27,10
158,1043.27,10
159,1043.27,10
160,1043.27,10
161,1043.27,10
162,1043.27,10
163,1043.27,10
164,1043.27,10
165,1043.27,10
166,1043.27,10
167,1043.27,10
168,1043.27,10
169,1043.27,10
170,1043.27,10
171,1043.27,10
172,1043.27,10
173,1043.27,10
174,1043.27,10
175,1043.27,10
176,1043.27,10
177,1043.27,10
178,1043.27,10
179,1043.27,10
180,1043.27,10
181,1043.27,10
182,1043.27,10
183,1043.27,10
184,1043.27,10
185,1043.27,10
186,1043.27,10
187,1043.27,10
188,1043.27,10
189,1043.27,10
190,1043.27,10
191,1043.27,10
192,1043.27,10
193,1043.27,10
194,1043.27,10
195,1043.27,10
196,1043.27,10
197,1043.27,10
198,1043.27,10
199,1043.27,10
200,1043.27,10
201,1043.27,10
202,1043.27,10
203,1043.27,10
204,1043.27,10
205,1043.27,10
206,1043.27,10
207,1043.27,10
208,1043.27,10
209,1043.27,10
210,1043.27,10
211,1043.27,10
212,1043.27,10
213,1043.27,10
214,1043.27,10
215,1043.27,10
216,1043.27,10
217,1043.27,10
218,1043.27,10
219,1043.27,10
220,1043.27,10
221,1043.27,10
222,1043.27,10
223,1043.27,10
224,1043.27,10
225,1043.27,10
226,1043.27,10
227,1043.27,10
228,1043.27,10
229,1043.27,10
230,1043.27,10
231,1043.27,10
232,1043.27,10
233,1043.27,10
234,1043.27,10
235,1043.27,10
236,1043.27,10
237,1043.27,10
238,1043.27,10
239,1043.27,10
240,1043.27,10
241,1043.27,10
242,1043.27,10
243,1043.27,10
